,credit,gender,education,martial_status,age,pay_status_sep,pay_status_aug,pay_status_jul,pay_status_jun,pay_status_may,pay_status_apr,bill_sep,bill_aug,bill_jul,bill_june,bill_may,bill_apr,paid_sep,paid_aug,paid_jul,paid_jun,paid_may,paid_apr,Y
1,627,2,2,1,24,2,2,-1,-1,-2,-2,122,97,21,0,0,0,0,21,0,0,0,0,1
2,3767,2,2,2,26,-1,2,0,0,0,2,84,54,84,102,108,102,0,31,31,31,0,62,1
3,2825,2,2,2,34,0,0,0,0,0,0,918,440,425,449,469,488,47,47,31,31,31,156,0
4,1569,2,2,1,37,0,0,0,0,0,0,1475,1514,1547,888,909,927,62,63,37,34,33,31,0
5,1569,1,2,1,57,-1,0,-1,0,0,0,270,178,1125,657,601,600,62,1151,313,282,21,21,0
6,1569,1,1,2,37,0,0,0,0,0,0,2021,1791,1808,608,615,628,78,56,20,31,31,25,0
7,15698,1,1,2,29,0,0,0,0,0,0,11553,12936,13971,17037,15164,14880,1726,1255,1193,635,431,432,0
8,3139,2,2,2,23,0,-1,-1,0,0,-1,372,11,18,6,-4,17,11,18,0,18,52,48,0
9,4395,2,3,1,28,0,0,2,0,0,0,354,442,380,383,370,116,104,0,13,31,31,31,0
10,627,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,408,436,0,0,0,408,35,0,0
11,6279,2,3,2,34,0,0,2,0,0,-1,347,307,173,78,57,117,72,0,1,9,117,2,0
12,8163,2,1,2,51,-1,-1,-1,-1,-1,2,384,680,312,267,699,429,685,312,269,700,0,114,0
13,19780,2,2,2,41,-1,0,-1,-1,-1,-1,381,204,204,204,204,90,31,204,204,204,90,0,0
14,2197,1,2,2,30,1,2,2,0,0,2,2065,2115,2062,2096,1134,1158,100,0,94,94,47,0,1
15,7849,1,1,2,29,0,0,0,0,0,0,2225,2105,1995,1874,1785,1742,94,94,94,94,94,94,0
16,1569,2,3,3,23,1,2,0,0,0,0,1589,915,882,903,927,948,0,47,34,37,40,34,0
17,627,1,1,2,24,0,0,2,2,2,2,482,565,547,575,562,599,100,0,47,0,51,0,1
18,10047,1,1,1,49,0,0,0,-1,-1,-1,7952,7740,6111,2200,183,6141,325,313,2384,627,6141,1569,0
19,11302,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5651,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4081,2,3,2,39,0,0,0,0,0,-1,1204,869,768,647,370,29,94,48,31,62,29,1060,0
22,3767,2,2,1,39,-1,-1,-1,-1,-1,-1,9,9,9,0,19,9,9,9,0,19,9,0,1
23,2197,2,2,2,26,2,0,0,2,2,2,1290,1332,1413,1381,1472,1444,63,112,0,113,0,57,1
24,14128,2,1,1,40,-2,-2,-2,-2,-2,-2,173,609,46,17,0,0,609,46,17,0,0,35,1
25,2825,1,1,2,23,0,0,0,-1,0,0,148,221,0,169,199,260,180,0,169,37,64,62,0
26,1569,1,3,2,23,0,0,0,0,0,0,1495,1312,1131,909,936,943,61,44,31,44,33,31,0
27,1883,1,1,2,27,1,-2,-1,-1,-1,-1,-3,-13,8,-1,3,-5,0,31,0,15,0,31,1
28,1569,2,3,2,30,0,0,0,0,0,0,707,506,538,561,594,615,40,40,31,47,31,31,0
29,1569,2,3,1,47,-1,-1,-1,-1,-1,-1,20,107,107,64,955,8,107,107,64,955,8,0,0
30,1569,1,1,2,26,0,0,0,0,0,0,481,520,549,562,576,357,47,47,31,31,50,0,0
31,7221,2,1,2,27,-1,-1,-1,-1,-1,-1,522,542,416,481,449,1159,542,416,481,449,1170,0,0
32,1569,1,2,2,33,2,0,0,0,0,0,958,929,693,713,728,743,53,47,31,31,31,22,1
33,3139,1,1,2,32,0,0,0,0,0,0,2921,2639,2602,2541,2471,2373,94,110,103,100,100,78,0
34,15698,2,2,1,54,-2,-2,-2,-2,-2,-2,343,130,713,236,2242,281,130,716,236,2242,30,1619,0
35,15698,1,1,1,58,-2,-2,-2,-2,-2,-2,430,157,977,99,0,166,157,978,99,0,166,24,0
36,5023,1,1,2,30,-1,-1,-2,-2,-2,-1,950,-4,-16,-28,-46,-59,4,12,12,17,24,0,0
37,8791,1,2,1,40,0,0,0,0,0,0,5855,5693,5664,5350,5460,5570,251,253,197,200,200,211,0
38,1883,2,2,2,22,0,0,0,0,0,-1,472,307,347,189,-889,585,47,47,64,0,1496,19,0
39,1569,1,1,2,25,1,-1,-1,-2,-2,-2,0,24,0,0,0,0,24,0,0,0,0,0,1
40,8791,1,1,2,31,-1,-1,2,-1,0,-1,15,284,145,313,564,297,284,0,313,251,299,24,0
41,11302,1,1,2,33,0,0,0,0,0,0,6865,6948,6495,19739,6152,5627,313,219,188,5929,879,125,0
42,2197,2,1,2,25,0,0,0,0,0,0,2119,2103,2007,1999,2031,2071,94,141,126,78,87,78,0
43,313,1,2,2,22,0,0,0,0,0,0,58,99,188,112,115,139,47,91,31,9,31,15,0
44,4395,2,2,1,37,0,0,0,0,0,0,1868,1932,1975,2018,2106,2191,94,94,94,125,125,94,0
45,1255,2,1,2,30,0,0,0,2,0,0,594,668,813,791,836,916,94,156,0,62,94,0,0
46,6593,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
47,627,2,1,2,22,0,0,2,-1,0,0,440,517,496,513,523,0,94,0,525,10,0,0,1
48,4709,2,5,2,46,0,0,-1,0,0,-2,140,95,36,36,0,0,31,36,0,0,0,0,1
49,11930,1,2,2,32,-1,-1,-1,-1,-1,-1,703,676,475,1005,372,372,676,475,774,372,372,259,0
50,627,1,1,2,24,0,0,0,0,0,0,547,580,611,623,643,629,41,41,22,29,28,33,0
51,2197,1,3,2,42,1,2,2,2,2,0,1163,1135,1204,1237,1213,1235,0,97,62,0,47,47,1
52,3139,2,3,3,43,0,0,0,0,0,0,1932,1606,1375,1243,1122,1044,62,50,47,62,47,31,0
53,9733,2,2,1,49,-2,-2,-2,-2,-2,-2,422,247,238,351,111,14,247,238,351,111,14,0,0
54,5651,2,1,2,25,1,2,0,0,0,0,1299,1310,1342,1366,1394,1422,40,63,55,55,56,50,0
55,4709,2,1,2,29,2,0,0,0,0,0,1451,1098,986,832,660,519,50,53,32,47,62,156,0
56,15698,2,1,1,45,-2,-2,-2,-2,-2,-2,59,114,5,0,4,79,114,5,0,4,79,0,0
57,5651,2,3,1,34,0,0,0,-1,-1,-1,514,495,265,224,-21,261,266,47,235,21,282,62,0
58,5651,2,2,1,34,0,0,0,0,0,0,5522,5445,5409,5293,4150,4079,253,229,164,151,151,119,0
59,6279,2,1,2,34,-1,3,2,2,2,2,49,34,24,36,21,44,0,0,21,0,37,0,0
60,12558,2,2,1,29,0,0,0,0,0,0,12563,12522,12690,11309,11197,11431,533,471,941,376,376,722,0
61,15698,2,3,1,28,0,0,0,0,0,0,717,742,592,468,434,488,47,40,31,31,62,62,1
62,2197,1,2,1,39,0,0,0,0,0,-1,2222,2262,2195,518,442,26,126,65,31,62,94,0,0
63,1569,1,1,2,29,2,2,2,2,2,2,784,762,834,812,868,887,0,84,0,69,37,0,1
64,1569,2,2,1,46,0,0,0,-2,-2,-2,901,915,0,0,0,0,31,0,0,0,0,0,1
65,4081,2,2,1,51,-1,-1,-2,-2,-1,-1,3,0,0,0,73,0,0,0,0,73,0,0,0
66,6279,1,1,1,57,-2,-2,-2,-1,2,2,4788,4670,4523,256,257,248,0,0,258,9,0,31,1
67,313,1,2,1,56,2,2,2,0,0,0,65,131,124,127,131,135,72,0,4,6,6,5,1
68,6593,2,1,2,30,2,-1,-1,-1,-1,-1,9,9,36,71,9,133,9,36,71,9,133,28,0
69,4081,2,3,2,29,1,-2,-2,-1,2,-1,-5,-309,-309,323,319,229,0,0,632,0,229,436,0
70,627,1,5,2,22,2,0,0,0,0,0,582,540,542,567,351,187,0,37,31,15,31,0,0
71,2511,1,1,2,31,-1,-1,-1,-1,-1,-1,24,0,12,12,12,12,0,12,12,12,12,12,0
72,10047,1,2,2,29,2,2,2,2,2,2,1829,1860,1889,1840,1956,1994,78,78,0,150,75,50,1
73,6279,2,2,1,32,-1,-1,-1,-1,2,-1,284,181,-21,164,120,98,182,0,285,0,99,43,0
74,9105,2,1,2,37,1,-2,-1,-1,-1,-1,0,0,99,0,74,0,0,99,0,74,0,0,0
75,10675,1,1,2,32,-1,-1,-1,-1,-1,-1,95,174,732,134,2516,810,179,736,135,2529,814,63,0
76,627,1,2,2,24,0,0,2,0,0,0,458,540,522,532,544,582,89,0,19,19,47,0,0
77,1569,1,3,2,25,-1,0,0,0,0,0,1344,1168,1133,302,301,314,55,55,10,15,31,31,0
78,9419,2,1,1,45,-1,-1,-1,-1,-1,-1,9,9,9,9,9,9,9,9,9,9,9,9,0
79,941,2,2,2,22,0,0,0,0,0,0,891,929,952,879,830,201,52,43,17,94,55,0,1
80,7535,2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
81,14756,2,3,3,33,0,0,0,0,0,0,5188,4953,5108,2195,919,938,200,237,94,30,31,94,0
82,11302,2,1,2,26,0,0,0,0,0,-1,735,872,954,1039,5651,6,150,106,97,4612,6,93,0
83,1883,1,3,2,30,0,0,0,0,0,0,826,862,882,690,624,620,49,38,20,24,35,0,1
84,12558,2,2,1,44,0,0,2,0,0,0,4131,4366,3981,3278,3296,2953,335,0,95,94,100,87,0
85,1569,2,3,2,49,0,0,0,0,0,0,1535,1502,674,640,607,611,52,40,21,21,26,25,0
86,5023,1,2,2,33,0,0,0,0,0,0,4082,3384,2258,3717,3717,3780,138,111,2511,141,150,141,0
87,11302,2,1,1,45,-1,-1,2,0,-1,-1,12,36,24,12,12,12,36,0,0,12,12,12,1
88,5023,2,2,2,32,0,0,0,0,0,-1,120,149,207,270,222,24,36,62,62,0,24,72,0
89,4081,2,1,1,35,0,0,0,-1,-1,-1,2552,3700,556,41,222,37,1255,156,41,222,37,65,0
90,627,1,3,2,44,2,2,0,0,0,2,269,260,303,329,386,375,0,51,31,62,0,47,0
91,6279,1,1,1,53,2,2,2,2,2,2,4338,4419,4472,4524,4619,4694,197,172,172,172,156,156,1
92,8791,2,1,2,39,-1,-1,-1,0,0,-2,236,0,124,121,0,0,0,124,0,0,0,0,0
93,3139,2,1,2,27,-2,-2,-2,-2,-2,-2,-62,174,0,0,0,0,237,0,0,0,0,0,0
94,5023,2,2,1,37,-1,-1,-1,-1,-1,-2,27,50,26,26,0,0,50,26,26,0,0,242,0
95,1883,2,2,2,23,0,0,0,0,0,0,1433,1470,1482,615,603,606,60,40,21,21,25,26,0
96,2825,1,2,2,35,0,0,0,0,0,0,2628,2700,2752,1116,971,968,113,112,37,34,34,35,0
97,11302,1,1,1,43,-1,-1,-1,-1,-1,0,124,261,106,202,827,312,261,106,405,847,0,2165,0
98,4709,1,1,2,27,0,0,0,0,0,0,2700,2703,2794,2818,2754,1280,126,314,102,126,53,25,0
99,1569,2,3,1,22,0,0,0,0,0,0,587,570,533,412,278,248,44,37,11,8,10,6,0
100,627,1,2,1,38,0,0,0,0,0,-1,564,608,614,572,562,4,53,45,19,54,4,0,1
101,4395,1,1,2,32,-2,-2,-2,-2,-2,-2,21,320,26,13,3,44,320,26,13,3,44,0,0
102,11930,2,1,2,30,-2,-2,-1,0,0,0,-2,-9,1019,1032,1053,1069,7,1041,36,37,39,156,0
103,15070,1,1,1,63,0,0,0,2,2,0,13251,13542,15052,15292,14792,14755,504,1748,533,0,565,759,0
104,1569,2,3,2,22,0,0,0,0,0,0,1403,1326,1203,1020,737,756,55,42,31,26,31,28,1
105,1883,2,2,2,26,2,2,2,2,2,0,1779,1733,1857,1890,1740,1736,0,156,78,0,94,94,0
106,2197,2,2,2,24,-1,-1,-2,-2,-2,-1,175,0,0,0,0,832,0,0,0,0,832,62,0
107,2511,2,2,1,36,-1,-1,-1,-1,-1,-1,191,89,102,104,36,36,89,102,104,36,36,32,0
108,10989,1,1,2,52,-1,-1,-1,-1,-1,-1,22,71,22,27,36,165,71,22,27,36,165,157,0
109,4081,1,2,2,38,0,0,0,-1,-1,-1,5382,5600,1254,3782,1385,3973,342,0,4196,143,4202,150,0
110,11302,1,2,1,35,1,-2,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,0,0,0,0,0,0,0
111,10361,2,1,1,31,0,0,2,0,0,0,3324,3404,3315,3324,3343,3368,290,0,112,128,495,0,0
112,1569,1,3,1,47,0,0,2,0,0,0,415,462,476,500,523,546,62,31,31,31,31,31,0
113,8791,1,2,1,41,2,2,2,2,2,3,4259,4349,4232,4533,4777,4691,204,0,447,466,0,156,0
114,3139,2,1,2,24,0,0,0,0,0,0,1636,1654,1710,1760,1886,1874,62,84,96,159,94,63,0
115,1569,1,2,2,41,0,0,0,0,0,0,597,605,636,636,637,626,42,40,21,22,22,21,0
116,941,1,1,2,24,-1,2,0,0,3,2,571,553,584,669,649,665,0,41,94,0,31,31,1
117,7535,1,1,2,28,-1,-1,-1,-1,-1,-1,10,10,10,178,14,10,10,10,178,14,10,16,0
118,2511,1,2,2,26,2,0,0,0,0,0,440,486,522,535,553,570,62,53,31,31,31,31,1
119,12558,1,2,1,34,-1,-1,-1,-1,-1,-1,617,303,372,246,465,249,303,372,246,465,249,179,0
120,7535,2,2,2,38,0,0,0,0,-1,-1,1577,1615,1664,1647,41,37,62,94,94,41,37,17,0
121,1569,1,3,2,37,2,2,2,3,2,2,1444,1443,1536,1533,1548,1605,31,126,31,43,87,0,1
122,14128,1,1,1,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
123,3453,2,1,1,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
124,9733,2,2,1,35,2,0,0,0,0,0,9575,9772,9617,8119,7739,6244,408,349,263,269,214,187,1
125,627,1,1,2,27,0,0,0,0,0,0,600,595,605,608,619,490,44,35,18,27,9,0,0
126,627,1,2,2,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
127,6279,1,3,2,52,0,0,0,0,0,0,3458,3124,3106,3168,3238,3296,112,112,113,120,115,118,0
128,5651,1,1,1,36,0,0,0,0,0,0,5140,3655,3117,3006,3069,3011,146,84,64,67,69,31,1
129,1569,1,2,1,51,0,0,0,0,0,0,105,122,141,167,200,222,31,33,40,47,37,4,1
130,1883,1,3,1,55,3,2,2,0,0,0,1900,1929,1797,905,926,833,78,0,37,37,34,47,0
131,941,2,1,2,23,1,-2,-2,-2,-1,-1,125,177,110,0,431,185,177,110,0,432,185,94,0
132,7535,1,1,2,41,1,-1,-1,0,0,-1,2,82,103,99,11,54,82,103,0,11,54,29,0
133,13186,1,2,1,34,0,0,0,0,0,0,7957,7778,7191,6937,6612,5906,305,299,238,245,227,355,0
134,10361,1,3,1,46,0,0,0,0,0,0,7139,7181,7210,7145,7151,7164,257,254,251,256,263,257,0
135,941,2,2,2,22,0,0,0,0,0,0,893,820,838,795,552,-24,62,43,0,15,0,48,0
136,7535,1,2,1,34,0,0,0,2,2,2,335,377,429,416,444,436,47,56,0,31,0,10,0
137,4709,1,1,2,27,0,0,0,0,0,0,547,607,690,772,854,949,78,94,94,94,109,156,0
138,6593,2,2,1,33,0,0,0,0,0,0,224,251,276,288,138,179,47,47,31,15,62,17,0
139,1569,2,3,1,51,-1,-1,-1,-1,-2,-2,23,9,184,0,0,0,9,184,0,0,0,0,1
140,1569,1,1,2,24,0,0,0,0,0,0,1595,1574,1556,610,608,596,74,53,31,28,27,66,0
